,URL,Name ,Price
11,https://www.flipkart.com/redmi-10a-slate-grey-32-gb/p/itm755830dd54ae1?pid=MOBGDRGQXGRHUJS2&lid=LSTMOBGDRGQXGRHUJS2ORB6PW&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBGDRGQXGRHUJS2.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI 10A (Slate Grey, 32 GB)","₹7,626"
12,https://www.flipkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGO4EIDO&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBG6WQWJRFZ5WDG.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI 10A (Charcoal Black, 64 GB)","₹8,574"
13,https://www.flipkart.com/redmi-9-activ-carbon-black-64-gb/p/itm329ae4068c8e8?pid=MOBG78A4FDDGCXGX&lid=LSTMOBG78A4FDDGCXGXOWNZJK&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBG78A4FDDGCXGX.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI 10 (Caribbean Green, 128 GB)","₹12,999"
14,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBG7CHHZ2MUWAZ4&lid=LSTMOBG7CHHZ2MUWAZ4CUYCKA&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBG7CHHZ2MUWAZ4.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI 9 Activ (Carbon Black, 64 GB)","₹8,212"
15,https://www.flipkart.com/redmi-10-pacific-blue-128-gb/p/itmeee56f3526c69?pid=MOBGC9GYMXA2XAH4&lid=LSTMOBGC9GYMXA2XAH4ZHA04T&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBGC9GYMXA2XAH4.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,750"
16,https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW8N0WII&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI 10 (Pacific Blue, 128 GB)","₹12,999"
17,https://www.flipkart.com/redmi-9-activ-metallic-purple-64-gb/p/itm329ae4068c8e8?pid=MOBG7F5HVHHNVXGK&lid=LSTMOBG7F5HVHHNVXGKUP6LGW&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBG7F5HVHHNVXGK.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI 9 Activ (Carbon Black, 128 GB)","₹10,499"
18,https://www.flipkart.com/redmi-10a-charcoal-black-64-gb/p/itm755830dd54ae1?pid=MOBGHXQYVFTQKBTR&lid=LSTMOBGHXQYVFTQKBTRGGBIFL&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBGHXQYVFTQKBTR.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI Note 11 SE (Bifrost Blue, 64 GB)","₹12,999"
19,https://www.flipkart.com/redmi-10a-sea-blue-64-gb/p/itmab0d50e81ec2e?pid=MOBGE9E3TSXTNGHG&lid=LSTMOBGE9E3TSXTNGHGFCJMPZ&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBGE9E3TSXTNGHG.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI Note 10 Pro Max (Dark Nebula, 128 GB)","₹17,999"
20,https://www.flipkart.com/redmi-10-midnight-black-128-gb/p/itm68b3d276eda8c?pid=MOBGC9GYX2QQXKWK&lid=LSTMOBGC9GYX2QQXKWKZPFGVJ&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBGC9GYX2QQXKWK.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI 9 Activ (Metallic Purple, 128 GB)","₹10,499"
